"a maruwadiyadi naziyu na zazuwa?"," Are they brothers and sisters?","他們兩個人是兄弟姐妹嗎?"
"amelri, mare'alri' naziyu na zazuwa."," No, they are friends.","不是，他們是朋友。"
"a Yēncumin u?"," Are you Aboriginal?","你是原住民嗎?"
"ai, a Pinuyumayan ku."," Yes, I am [Puyuma].","是，我是卑南族。"
"a Yēncumin nanu 'azin?"," Is your spouse Aboriginal?","你的配偶是原住民嗎?"
"ai, mawmu, a Amis intaw."," Yes, but he/she is [Amish].","是，但是他/她是阿美族。"
"ai, tihahasaran mi saruma'enan."," Yes, we are all very tall.","對，我們全家都很高。"
"malrazam na wadiyu marengay kananta piningaiyan?"," Do your siblings speak the language?","你的弟妹會說族語嗎?"
"ai, malrazam marengay kananta piningaiyan nazu."," Yes, they speak the ethnic language.","是，他們會說族語。"
"ulra papida nu maruwadiyadi?"," How many brothers and sisters do you have?","你有幾個兄弟姐妹?"
"ulra tatelu ku maruwadiyadi."," I have three brothers and sisters.","我有三個兄弟姐妹。"
"mukasa u kazu kana temama zi taina?"," Do you live with your parents?","你和爸爸媽媽一起住嗎?"
"ai, mukasa ku kazu kana amalri zi inani."," Yes, I live with my mom and dad.","是，我和爸爸媽媽一起住。"
"mukasa u kazu kana temu?"," Do you live with your grandparents?","你和爺爺奶奶一起住嗎?"
"'azi, 'azi ku mukasa kazu kana imulri."," No, I didn’t live with them.","不，我沒和跟他們一起住。"
"mukasa ku kazu kana amalri, inani zi ivalri na ma'inayan."," I live with my father, mother and brother.","我跟爸爸、媽媽、哥哥住在一起。"
"kemay u i iyan?"," Where are you from?","你從哪裡來?"
"kemay ku i Takaw."," I’m from [Kaohsiung].","我從高雄來。"
"kazu i Tayhok naniyam ruma'."," Our home is in Taipei.","我們的家在台北。"
"mau i iyan nanu kazekalran?","Where is your hometown?","你的故鄉在哪裡?"
"mau i Valangaw nanku kazekalran."," My hometown is in Taitung.","我的故鄉在台東。"
"ulra i iyan nu zekalr?"," Where is your tribe?","你們的部落在哪裡?"
"uwaruma' u i zekalr nu aidan?"," When are you going back to the tribe?","你什麼時候會回去部落?"
"a alrak ku za Pinuyumayan."," I am a Puyuma child.","我是卑南族小孩。"
"kemuda na wari harem?"," How is the weather today?","今天天氣如何?"
"mupana lra na kadaw, vi'as na wari.","The sun is coming out, it's very hot.","太陽出來了，天氣很熱。"
"mupana lra na 'unin, vi'as na wari."," The sun is coming out, it's very hot.","太陽出來了，天氣很熱。"
"lritek i patraran?"," Is it going to be cold outside?","外面會很冷嗎?"
"lritek, puwapuwa mikavang."," It's cold, so wear more clothes.","很冷，要多穿衣服。"
"vi'as i patraran?"," Will it be hot outside?","外面會很熱嗎?"
"'azi, valiyan lra, salaw valiyan."," No, it's windy and cool.","不會，起風了，很涼快。"
"'azi lritek zi 'azi vi'as na wari, salaw 'inava."," It's neither cold nor hot today, very comfortable.","今天不冷也不熱，很舒服。"
"kemuda na wari harem kana karauvan?"," How is the weather tonight?","今天晚上天氣如何?"
"iniyan za kutrem na lingatr, mupana lra na vitu'en."," There were no clouds in the sky; the stars came out.","天空沒有雲，星星出來了。"
"uniyan za kutrem na lingatr, mupana lra na vitu'en."," There were no clouds in the sky; the stars came out.","天空沒有雲，星星出來了。"
"kemuda na wari i patraran?"," How is the weather outside?","外面天氣如何?"
"dali' a haremay, mupana lra na kadaw, zi mupana lra na 'aliwanes."," The rain has just stopped, the sun has come out, the rainbow is coming out.","雨剛剛停，出了太陽，彩虹出來了。"
"dali' a haremay, mupana lra na 'unin, zi mupana lra na 'aliwanes."," The rain has just stopped, the sun has come out, the rainbow is coming out.","雨剛剛停，出了太陽，彩虹出來了。"
"'inava na wari i kazu?"," How's the weather there?","你那裡的天氣好嗎?"
"salaw 'inava, panana na kadaw."," Very well, out of the big sun.","很好，出大太陽。"
"salaw 'inava, panana na 'unin."," Very well, out of the big sun.","很好，出大太陽。"
"auwa ku i takesiyan lra."," I have to go to school.","我要去上學了。"
"lritek na wari, puwapuwa mikavang."," The weather is very cold, so wear more clothes.","天氣很冷，要多穿衣服。"
"uwapatraran ku lra."," I'm going out.","我要出門了。"
"'a'udalr pakirev nu haremay, ikalalup murung za suku."," It's going to rain heavily, you have to remember to bring an umbrella.","等一下會下大雨，你要記得帶傘。"
"'a'udalr ziyamaw?"," Is it going to rain?","會下雨嗎?"
"zemerung a haremay, uri 'a'udalr nu haremay."," There was thunder just now, and it's supposed to rain later.","剛剛打雷了，等一下應該就會下雨。"
"'ema'udalr lra?"," Is it raining?","下雨了嗎?"
"'emudalr a haremay, dali' lra harem."," It just rained, and now it's stopped.","剛剛有下雨，現在雨停了。"
"kamawan za 'emudalr lra, sapene' na dalan."," It seems to have rained and the road is wet.","好像下過雨了，馬路是濕的。"
"'ema'udalr i patraran, malalup ku murung za suku."," It's raining outside, so I didn't bring an umbrella.","外面在下雨，我沒有帶雨傘。"
"kemuda u ziyamaw?"," Are you all right?","你還好嗎?"
"salaw valiyan na vali, vatring ku tranguru' kana vinaliyan."," The wind is blowing so hard that my head hurts.","風好大，吹得我頭好痛。"
"kemuda u ziyamaw?"," Are you all right?","你還好嗎?"
"panana na kadaw, malingatr ku tranguru' kana kinadawan."," The sun is so big, it makes me dizzy.","太陽好大，曬得我頭好暈。"
"panana na 'unin, malingatr ku kana 'inuninan."," The sun is so big, it makes me dizzy.","太陽好大，曬得我頭好暈。"
"ku nu pavulasay.","I can lend you.","我借你。"
"malalup ku murung za 'aratrip."," I forgot to bring my chopsticks.","我忘了帶筷子。"
"'azi ku murung inku, kay ta tremima'a."," I don't have one either, let's go buy one.","我也沒有帶，我們去買。"
"kay ta tremima'a za impis maw?"," Let's go buy a pen, shall we?","我們去買筆好嗎?"
"ai, tratrima' ku ziya za aitrul."," Well, I still have to buy erasers.","好，我還要買橡皮擦。"
"inaku, kenama ku lra i ruma'."," No, I've already eaten at home.","不要，我在家吃過了。"
"malalup ku parevi'as za tavu."," I forgot to steam my lunchbox.","我忘記蒸便當了。"
"kadika elaku parevi'as."," Take it to the heat!","趕快拿去加熱吧!"
"malalup ku mitavu."," I forgot to bring my lunchbox.","我忘記帶便當了。"
"mukasaya ta mekan kananku tavu nu kemazu."," Then let's eat my lunch box together!","那我們一起吃我的便當吧!"
"kare'a'alri ku kana miēyo na kare'a'alriyan i takesiyan."," I want a nutritious school lunch.","我要吃學校的營養午餐。"
"mitavu ku harem, mukasaya ta kare'alri nu kare'alriyan."," I've brought a lunchbox today, let's eat together at noon!","我今天有帶便當，我們中午一起吃吧!"
"kay ta malimaliya za lanciw maw?"," Let's go play basketball, shall we?","我們去打籃球好嗎?"
"kay ta tremepuka za yakiyu maw?"," Shall we go play baseball?","我們去打棒球好嗎?"
"inaku, uri takesi ku."," No, I want to study.","不要，我要讀書。"
"'alra zi elakanay ku za 'elralresap."," Please help me with the broom.","請幫我拿掃把。"
"'alra zi elakanay ku za aidap."," Please help me with the broom.","請幫我拿掃把。"
"ai, niya ini na 'elralresap."," Okay, here's a broomstick for you.","好，這支掃把給你。"
"ai, niya ini na aidap."," Okay, here's a broomstick for you.","好，這支掃把給你。"
"elakanay ku za tupu maw?"," Can you get me a rag, please?","幫我拿抹布好嗎?"
"'emelralresap ku, elakanay ku kuwayu i Asaw."," I'm sweeping the floor, you ask Asaw to help you.","我在掃地，你叫Asaw幫你拿。"
"maidap ku, elakanay ku kuwayu i Asaw."," I'm sweeping the floor, you ask Asaw to help you.","我在掃地，你叫Asaw幫你拿。"
"piya u lra 'emelresap?"," Are you done sweeping?","你掃好了嗎?"
"piya u lra midap?"," Are you done sweeping?","你掃好了嗎?"
"piya ku lra 'emelresap."," I swept it.","我掃好了。"
"piya ku lra midap."," I swept it.","我掃好了。"
"kemuda zi 'azi u 'emelresap?"," Why don't you clean up?","你怎麼不打掃?"
"kemuda zi 'azi u midap?"," Why don't you clean up?","你怎麼不打掃?"
"piya ku lra 'emelresap."," I've finished cleaning up.","我打掃完了。"
"piya ku lra midap."," I've finished cleaning up.","我打掃完了。"
"milritra' i dare', uwa itruli ziya."," The floor is dirty, go clean it.","地板很髒，去擦一下。"
"ai, kay ku melaka za tupu."," Okay, I'll get the rag.","好，我去拿抹布。"
"milritra' i iziyu na lataw, uwa itruli ziya."," That window is very dirty, go clean it.","那個窗戶很髒，去擦一下。"
"nu haremay lra, 'azi ku ziya piya 'emelresap i kani."," Wait a minute, I'm not done sweeping here yet.","等一下，我還沒掃完這裡。"
"nu haremay lra, 'azi ku ziya piya midap i kani."," Wait a minute, I'm not done sweeping here yet.","等一下，我還沒掃完這裡。"
"kakuda u nu haremay?"," What are you doing later?","你等一下要做什麼?"
"auwa ku maya'a kani sinsi."," I'm going to see my teacher.","我要去找老師。"
"auwa ku miya'a kani sinsi."," I'm going to see my teacher.","我要去找老師。"
"kakuda u nu muruma' u kemay i takesiyan?"," What do you do after school?","你放學要做什麼?"
"kakuda i intaw nu muruma' kemay i takesiyan?"," What's he doing after school?","他放學要做什麼?"
"auwa melranguya intaw."," He's going swimming.","他要去游泳。"
"kiumalra ku ziya, ulra i ruma' i Simuy?"," Is Simuy at home?","請問Simuy在家嗎?"
"iniyan intaw, kemuda ziyamaw"," She’s not here, what can I do for you?","她不在，請問你有什麼事?"
"uniyan intaw, kemuda ziyamaw?"," She’s not here, what can I do for you?","她不在，請問你有什麼事?"
"i eman?"," Who is it?","是誰啊?"
"imu, i Asaw ku, 'alra zi truwalri na 'alrevan."," Grandfather, I am Asaw, please open the door.","爺爺，我是Asaw，請開門。"
"i eman u?"," Who is it?","請問哪位?"
"Sunay, i Asaw ku, zuwa ku muzangiya"," Sunay, I’m Asaw, I’ve come to play with you.","Sunay，我是Asaw，我來找你玩了。"
"sawariyan ta lra 'azi marepana'u."," Long time no see.","好久不見。"
"ai, sare'er ku lra kaninu, alamu! mazayazayara ta.","Yeah! I miss you so much. Come on, let’s chat!","是啊!我很想念你。快來聊天吧!"
"lrayuwan."," Thank you.","謝謝。"
"kiya! 'inava nanmu kurisepa nu 'emau ta."," Your tea is delicious.","你們的茶真好喝。"
"ai mu! salaw 'inava naheni na inaekan na vuwa' nu mena'u ta."," Yes! These fruits look great.","好喔!這些水果看起來很棒。"
"dalreu na inaekan na vuwa'?"," How is the fruit?","水果甜嗎?"
"tavu' na inaekan na vuwa'?"," Is the fruit sweet?","水果甜嗎?"
"ai, salaw dalreu.","Yes, it’s really delicious.","是，真的很甜。"
"ai, salaw tavu'."," Yes, it’s really sweet.","是，真的很甜。"
"piya lra demeru za keraraviyan i inani, alamu mekana ta."," My mom has cooked dinner, come and eat!","我媽媽煮好晚餐了，快來吃吧!"
"ai, murasa ku ziya zaku lima."," Okay, I’ll go wash my hands.","好，我去洗手。"
"puwapuwa mekan, a trau ta ziyamaw?"," Try to eat and drink, we are not outsiders?","盡量吃喝，咱們又不是外人？"
"sazu lra ku inekan, vetreker ku lra."," I’ve eaten a lot, I’m full.","我吃了很多，我很飽了。"
"puwapuwayi mekan, ikaira."," Eat more, don’t be polite.","多吃一點，不要客氣。"
"ai, kaimaranan.","Well, it’s delicious.","好，真好吃。"
"ai, marepana'uwa ta ziya."," Okay, goodbye.","好的，再見。"
"'aremeng lra, uwaveruk ku lra."," It’s late, I’m going home.","很晚了，我要回家了。"
"alamu uwazangi nu daman lra!","Come again next time!","下次再來玩喔!"
"tawar lra mu."," Walk slowly and carefully.","小心慢走。"
"ai, zuwa ku lra nu miwari ku."," Okay, I’ll come back when I have time.","好的，有空我再來。"
"'inavayan mapiya, piyalralrang na sinsi kaninta mapiya mukuwa i zekalr muzangiya kana dawdawan."," Hello everyone, today I’m taking you to the tribe to interview the elders.","大家好，老師今天要帶大家去部落訪問耆老。"
"'inava awa! tarapinuyumayan mi kimazayar kana dawdawan."," Okay! We’re going to speak Puyuma to the seniors.","好喔!我們要跟耆老說卑南語。"
"raredek ta lra?"," Are we almost there?","我們快到了嗎?"
"raredek lra.","Almost there.","快到了。"
"imu, zuwa mi mena'uwa kaninu."," Grandpa, we’ve come to see you.","爺爺，我們來看你了。"
"kiya! malrazam mu temarapinuyumayan awa! ka'inavayan!"," You guys speak Puyuma! That’s great!","你們會說卑南語啊!真是太棒了!"
"ai, sinsi."," Yes, sir.","是的，老師。"
"alamu uturik mapiya, ikalalup murung za kiyakarukarunan."," Come and line up, remember to bring your tools.","大家過來排隊，記得帶好工具。"
"ai, sinsi, melak mi lra za kiyakarukarunan."," Yes, sir, we’ve got our tools.","是的，老師，我們都拿好工具了。"
"meredek ta lra?"," Are we there yet?","我們到了嗎?"
"'azi ziya, adawilr ziya."," Not yet, it’s still far away.","還沒到，還很遠。"
"uwa puzanumi inu."," You go watering.","你去澆水。"
"uwa pu'enayi inu."," You go watering.","你去澆水。"
"ai, pu'enaya ku inku."," Okay, I’ll water it.","好，我來澆水。"
"uwa elak za traptrapan inu."," You go get the bird catcher.","你去拿趕鳥器。"
"ai, kay ku venawiya za 'ayam inku."," Okay, I’ll go and catch the birds.","好，我去趕鳥。"
"'inavayan mapiya, auwa ta i tong-u-yēn harem kana wari."," Hello everyone, we are going to the zoo today.","大家好，我們今天要去動物園。"
"kiya kana 'inava! kuwadakuda ta mukuwa?"," Awesome! How are we going to get there?","好棒喔!我們要怎麼去呢?"
"uturik mapiya, tratrima' ta za kippu."," Everyone line up, we are ready to buy tickets.","大家排好隊，我們準備買票。"
"i ngawayan mu, a 'aya'ayam, i likuzan mu, a unaunan, uwa karana'una'u mapiya."," There are birds in the front and snakes in the back.","前面是鳥類，後面是蛇類，大家自己參觀。"
"sinsi, makaud ku za unan."," I’m afraid of snakes.","老師我會怕蛇。"
"kakuda, uwa na'u za 'ayam nu kemazu."," It doesn’t matter, then you go and watch the birds.","沒關係，那你去看鳥。"
"ta palruwanay za saya tuki zi uwaveliyas ta muwazuk i kani."," We’ll meet back here in an hour.","我們一個小時後回來這裡集合。"
"ai, sinsi lrayuwan."," Yes, thank you.","好，謝謝老師。"
"mena'u u za eman harem kana wari?"," What did you see today?","你今天看到了什麼?"
"mena'u ku za sazu za unan zi sazu za 'ayam."," I saw a lot of snakes and a lot of birds.","我看到了好多蛇，還有好多鳥。"
"pakunamun, uwaveruk ta lra."," Hurry up, we have to go.","快一點，我們要走了。"
"ngarayu ku ziya, rapi' ku kuy."," Wait for me, my feet are tired.","等我一下，我的腳好累。"
"ngarayu ku ziya, rapi' ku kuwi."," Wait for me, my feet are tired.","等我一下，我的腳好累。"
"ai mu! arelra!","Yes! Let’s go!","好啊!走吧!"
"kazuwan na melrangulranguy i kani."," There are a lot of people swimming here.","這裡有好多人在游泳。"
"kemuda u zuwa i kani?"," How did you get here?","你怎麼來這裡的?"
"kemakawang ku zuwa i kani.","I came on foot.","我走路來這裡的。"
"muitras u za eman palizingan zuwa?"," What kind of car did you take?","你搭什麼車來的?"
"muitras ku za bas zuwa."," I came by bus.","我搭公車來的。"
"kemuda u mukuwa i kiyukay?"," How do you go to church?","你怎麼去教會?"
"mipalizing i amalri puitras kaninku salrangan mi mukuwa."," Dad drove me with him.","爸爸開車載我一起去。"
"kemuda mukuwa i takesiyan marayas intaw?"," How does he usually go to school?","他平常怎麼去學校?"
"kemuda mukuwa tremima'a za kulang i temu na vavayan?"," How does your grandmother go to the grocery store?","你的奶奶怎麼去買菜?"
"miotobay mukuwa tremima'a za kulang intaw."," She went to the grocery store on a motorcycle.","她騎摩托車去買菜。"
"kuwadakuda u mukuwa i Vutrulr?"," How are you going to get to Orchid Island?","你要怎麼去蘭嶼?"
"uwaitras ku za sudang mukuwa i Vutrulr."," I want to take a boat to Lanyu.","我要搭船去蘭嶼。"
"kemudakuda mukuwa i Vutrulr intaw?"," How did he get to Orchid Island?","他怎麼去蘭嶼?"
"muitras za hikuki mukuwa i Vutrulr intaw."," He took a plane to Orchid Island.","他搭飛機去蘭嶼。"
"muitras za kaw-tiē mukuwa intaw."," He took the THSR to Kaohsiung.","他搭高鐵去高雄。"
"muitras za kisiya mukuwa i Valangaw intaw?"," Did he take a train to Taitung?","他是搭火車去臺東嗎?"
"ai, muitras za kisiya mukuwa i Valangaw intaw."," Yes, he took a train to Taitung.","是，他搭火車去臺東。"
"i intaw mu, muitras za kisiya mukuwa i Valangaw?"," Did he take a train to Taitung?","他是搭火車去臺東嗎?"
"amelri, muitras za hikuki mukuwa i Valangaw intaw."," No, he took a plane to Taitung.","不是，他搭飛機去臺東。"
"ulra a siyataw za bas adalrep i kani?"," Is there a bus stop near here?","這附近有公車站嗎?"
"ulra, kakawang pingawayan nana'u u za siyataw za bas."," Yes, if you go straight ahead, you will see the bus stop.","有，往前走就會看到公車站了。"
"ulra i iyan na maraadalredalrep na siyataw kana ciē-yun i kani?"," Where is the nearest MRT station?","離這裡最近的捷運站在哪裡?"
"uniyan za siyataw za ciē-yun i kani, mawmau a kētēsiya nu uwaitrasan."," There is no MRT station here, you can only take a taxi.","這裡沒有捷運站，你只能坐計程車。"
"nu muitras za bas mu, kemuda kana sawariyan zi raredek i takesiyan?","How long does it take to get to the school by bus?","搭公車多久會到學校?"
"muketrep misama' za lruwatra pung mu, raredek i takesiyan.","15 minutes to school.","15分鐘會到學校。"
"nu muitras za kaw-tiē mu, kemuda kana sawariyan zi raredek i Taycong?"," How long does it take to get to Taichung by THSR?","搭高鐵要多久時間會到臺中?"
"saya tuki raredek i Taycong."," I will come to Taichung in an hour.","一個小時會到臺中。"
"sawariyan nu mipalizing ta mukuwa i Katratripulr?"," Is it a long drive to Chihpen?","開車去知本要很久嗎?"
"karuwa za saya tuki."," It takes about an hour.","大約要一個小時。"
"nu muitras u ciē-yun mu, kemuda kana sawariyan zuwa i kaniyam?"," How long did it take you to come to my house by subway?","你搭捷運來我家要多久?"
"makavetra'an pung."," 20 minutes.","20分鐘。"
"malrazam u mizidēnsiya?"," Do you know how to ride a bicycle?","你會騎腳踏車嗎?"
"malrazam ku mizidēnsiya."," I can ride a bicycle.","我會騎腳踏車。"
"ulra nu otobay?"," Do you have a motorcycle?","你有摩托車嗎?"
"ulra ku otobay a saya."," I have a motorcycle.","我有一台摩托車。"
"ulra nu otobay?"," Do you have a motorcycle?","你有摩托車嗎?"
"iniyan ku za otobay."," I don't have a motorcycle.","我沒有摩托車。"
"uniyan ku za otobay."," I don't have a motorcycle.","我沒有摩托車。"
"karuwa ku kiumaumalr kaninu?","Can I interview you?","我可以訪問你嗎?"
"karuwa, wawai ku."," Yes, I would love to.","可以，我很願意。"
"karuwa ku kiumaumalr kaninu?","Can I interview you?","我可以訪問你嗎?"
"amanan, 'azi sazu ku kinalrazaman.","Don’t, I don’t know much about it.","不要，我所知道的不多。"
"miwari u nu piya kare'alri? maranger ku mukuwa muzangiya kaninu, 'inava awlra?"," Are you free this afternoon? I’d like to visit you, is that OK?","你下午有空嗎?我想去拜訪你，可以嗎?"
"ai, ngangara ku kaninu i ruma'."," Okay, I’ll wait for you at home.","好，我會在家等你。"
"miwari u nu 'emanan? maranger ku kiumalr kaninu za vativatiyan kana Pinuyumayan."," Are you free tomorrow? I’d like to ask you about the legendary story of the Puyuma tribe.","你明天有空嗎?我想請問你關於卑南族的傳說故事。"
"auwa ku i zenan nu 'emanan, iniyan ku i ruma'."," I’m going to the mountains tomorrow, so I won’t be home.","明天我要去山上，不在家喔。"
"auwa ku i zenan nu 'emanan, uniyan ku i ruma'."," I’m going to the mountains tomorrow, so I won’t be home.","明天我要去山上，不在家喔。"
"kinger ku mu, salaw u malrazam zatu kakuwayanan kana Pinuyumayan zi, maranger ku kipanadam kaninu."," I heard that you know a lot about Puyuma traditions and customs, so I would like to ask you a few questions.","我聽說您對卑南族的傳統習俗非常了解，想要請教您一下。"
"'azi ku kamalrazaman, mawmu, kiyarungetr ku temuvang."," I don’t know much about it, but I will try to answer as best I can.","我所了解的不多，但是我會盡量回答。"
"kiumalra ku ziya, karuwa ku pasirep semasing? nu kemani mu, kalre'ayan ku venavalray i likuzan lra."," Can I record the video? It will be easier to record in the future.","請問我可以錄影嗎?這樣以後比較容易記錄。"
"ai, kuwatreng za eman."," Okay, no problem.","好的，沒問題。"
"kiumalra ku ziya, manueman nu 'ami harem?"," How old are you?","請問您今年幾歲了?"
"makaiwa misama' za waluwa ku 'ami lra."," I’m 98 years old.","我已經98歲了。"
"lralrak u ziya."," You’re so young.","您真年輕。"
"'azi! dawdawan ku lra."," No, I’m not! I’m old.","沒有啦!我已經老了。"
"kiumalra ku ziya, kemay u i iyan?"," Where are you from?","請問您來自哪裡?"
"kemay ku i Pinaseki."," I’m from Xia Binlang.","我來自下賓朗。"
"kiumalra ku ziya, a Pinuyumayan nanu 'azin?"," Is your wife also Puyuma?","請問您的太太也是卑南族人嗎?"
"amelri, a Amis intaw."," No, she’s Amis.","不，她是阿美族人。"
"malrazam u merengay za emaeman ngaiyan?"," What languages do you speak?","您會說哪些語言?"
"malrazam ku temarapinuyumayan zi temaraamis."," I speak Puyuma and Amis."," 我會說卑南語和阿美語。"
"ai. a lralrak ku ziya mu, marayas ku mukuwa pa'alrupa i zenan."," Yes. I used to go hunting in the mountains when I was young.","好的。我年輕的時候很常上山打獵。"
"tatena' peniya nanku nirengay, nintaw trungutrungulran vativatiyan kana temuwamuwan."," All that I say is true, the sayings of my ancestors.","我所説的都是千真萬確的，祖先所流傳的講述。"
"ta palruwanay ziya i kani nanta kiumaumalran harem. lrayuwan za 'azi nu ka'itrilay ku panadam."," That’s all for today’s interview. Thank you very much for sharing with us.","今天的訪談就到這邊。非常謝謝您的分享。"
"ikaira, nu miwari ta mu, mazayazayara ta lra."," You’re welcome. We’ll talk again when we have time.","不客氣，有時間我們再聊。"
"uwaveruk ku lra, talrima ku za masalr kinger ziya za marasazu za vativatiyan."," I’m going to leave now and look forward to hearing more stories next time.","我要離開了，期待下次聽到更多的故事。"
"ai, tawar lra."," Okay! Please take care.","好，請慢走。"
"'inavayan, tratrima' u za eman?"," Hello, what do you want to buy?","你好，你要買什麼?"
"tratrima' ku za saya za takilr."," I want to buy a cup.","我要買一個杯子。"
"'inavayan, tratrima' u za eman?"," Hello, what are you looking for?","你好，你要買什麼?"
"tratrima' ku za saya za talupung."," I want to buy a hat.","我要買一頂帽子。"
"tratrima' ku za saya za kavung."," I want to buy a hat.","我要買一頂帽子。"
"ai, tratrima' u za pidaya?"," Yes, how many do you want to buy?","有，你要買幾個?"
